zip code tabulation area,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,GEO_ID,B01003_001E,B19101C_001E,B19101C_001M,B19101C_002E,B19101C_002M,B19101C_003E,B19101C_003M,B19101C_004E,B19101C_004M,B19101C_005E,B19101C_005M,B19101C_006E,B19101C_006M,B19101C_007E,B19101C_007M,B19101C_008E,B19101C_008M,B19101C_009E,B19101C_009M,B19101C_010E,B19101C_010M,B19101C_011E,B19101C_011M,B19101C_012E,B19101C_012M,B19101C_013E,B19101C_013M,B19101C_014E,B19101C_014M,B19101C_015E,B19101C_015M,B19101C_016E,B19101C_016M,B19101C_017E,B19101C_017M,B19083_001E,B25003_001E,B25003_001M,B25003_002E,B25003_002M,B25003_003E,B25003_003M
95560,ZCTA5 95560,1350,612,1338,615,6,12,0,14,0,14,0,14,6,12,0,14,0,14,0,14,860Z200US95560,1350,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.4198,643,317,334,178,309,248
93701,ZCTA5 93701,10258,1235,2846,904,699,295,345,284,446,243,0,21,3579,827,2343,544,2189,532,154,111,860Z200US93701,10258,67,61,0,21,11,18,0,21,0,21,0,21,31,47,0,21,0,21,0,21,19,29,0,21,6,13,0,21,0,21,0,21,0,21,0.4563,3525,492,384,134,3141,509
90201,ZCTA5 90201,93783,69,27139,2116,1365,564,1047,363,574,371,86,78,22455,1951,41117,2297,40095,2324,1022,283,860Z200US90201,93783,254,102,27,29,9,15,0,32,7,13,32,30,14,23,22,33,0,32,0,32,9,14,21,34,60,55,16,17,14,21,0,32,23,26,0.4140,24358,538,5111,449,19247,613
90262,ZCTA5 90262,64918,404,15353,1732,5381,980,1447,524,467,295,11,15,26784,2244,15475,2090,14559,2069,916,301,860Z200US90262,64918,286,92,0,32,9,14,0,32,0,32,18,23,21,23,32,29,0,32,16,26,43,46,31,34,16,19,26,30,13,17,14,17,47,56,0.3999,15130,523,7456,520,7674,496
95965,ZCTA5 95965,20854,1530,12290,1182,696,428,545,185,3294,523,34,43,1318,428,2677,595,1460,551,1217,289,860Z200US95965,20854,143,95,20,30,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,43,42,21,25,0,25,11,20,0,25,48,64,0.4613,7218,489,4402,418,2816,349
92398,ZCTA5 92398,1657,680,1241,450,0,14,0,14,136,218,0,14,2,6,278,452,269,449,9,16,860Z200US92398,1657,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.3234,655,304,340,117,315,295
90222,ZCTA5 90222,32173,2383,5617,1433,7739,1235,396,282,461,284,0,29,11215,1366,6745,1622,6473,1600,272,166,860Z200US90222,32173,76,54,16,25,16,30,8,12,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,11,17,0,29,0,29,11,17,14,23,0.4036,8519,499,4505,541,4014,397
93616,ZCTA5 93616,2173,458,699,319,0,14,0,14,125,96,0,14,895,305,454,272,425,265,29,39,860Z200US93616,2173,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.3976,598,105,331,79,267,98
93247,ZCTA5 93247,17967,1011,4987,1128,87,66,237,213,165,175,28,32,7994,1278,4469,1191,4309,1183,160,154,860Z200US93247,17967,66,84,8,17,0,21,0,21,0,21,0,21,0,21,48,72,0,21,0,21,0,21,0,21,0,21,10,18,0,21,0,21,0,21,0.4843,5347,468,2959,397,2388,474
95919,ZCTA5 95919,1110,690,1040,663,6,10,0,14,0,14,0,14,0,14,64,70,33,51,31,44,860Z200US95919,1110,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.4235,517,251,407,240,110,89
93622,ZCTA5 93622,9683,511,2493,705,17,27,93,70,12,17,0,19,5774,904,1294,586,1226,565,68,87,860Z200US93622,9683,16,22,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10,19,6,9,0,19,0,19,0,19,0,19,0,19,0.4064,2839,295,1302,236,1537,236
95351,ZCTA5 95351,47232,2281,14574,1581,1598,573,785,317,2488,596,11,21,8923,1564,18853,2330,17242,2267,1611,429,860Z200US95351,47232,191,85,5,9,0,29,27,36,0,29,0,29,0,29,19,31,25,31,12,16,0,29,26,28,0,29,6,10,35,39,36,54,0,29,0.4290,13040,555,6348,556,6692,494
96080,ZCTA5 96080,31149,1107,23584,1061,470,204,945,311,426,215,82,70,1515,584,4127,831,2800,775,1327,315,860Z200US96080,31149,232,112,9,16,26,41,0,29,11,19,0,29,0,29,0,29,0,29,32,49,39,46,5,11,54,51,46,45,10,15,0,29,0,29,0.5523,12047,462,7700,521,4347,406
95358,ZCTA5 95358,30994,1598,13052,1422,426,149,357,232,1476,444,155,112,4688,977,10840,1629,9513,1666,1327,442,860Z200US95358,30994,73,42,0,29,0,29,5,8,0,29,0,29,0,29,0,29,3,6,9,16,0,29,0,29,6,13,7,11,43,33,0,29,0,29,0.4366,8263,371,5037,354,3226,300
95666,ZCTA5 95666,6089,616,5232,607,22,27,15,17,79,87,12,13,162,130,567,183,252,111,315,121,860Z200US95666,6089,13,15,0,19,0,19,0,19,0,19,0,19,0,19,2,4,7,13,0,19,0,19,0,19,0,19,0,19,4,5,0,19,0,19,0.4153,2604,268,2356,252,248,114
95249,ZCTA5 95249,4696,808,3853,733,69,63,68,57,200,165,0,14,172,140,334,193,102,63,232,183,860Z200US95249,4696,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.5623,1758,266,1280,267,478,186
90037,ZCTA5 90037,67895,3068,11565,1730,10396,1289,1869,736,835,234,102,151,32683,2883,10445,1626,9561,1567,884,294,860Z200US90037,67895,343,132,14,21,0,32,9,15,0,32,22,37,27,32,6,11,0,32,7,12,29,35,33,36,86,75,52,41,7,11,45,44,6,9,0.4636,17709,592,4071,391,13638,565
95341,ZCTA5 95341,34956,1416,7655,988,1301,289,302,189,2944,603,256,177,18797,1663,3701,810,2755,665,946,460,860Z200US95341,34956,48,37,0,29,0,29,0,29,0,29,0,29,0,29,10,19,0,29,0,29,0,29,17,24,6,10,0,29,5,8,10,14,0,29,0.4162,9090,359,3568,354,5522,383
96093,ZCTA5 96093,3626,763,2839,632,4,6,24,29,39,76,49,68,536,461,135,150,112,150,23,20,860Z200US96093,3626,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0.4974,1555,307,1211,313,344,185
93527,ZCTA5 93527,1801,359,1544,386,0,14,10,19,12,20,0,14,40,60,195,109,34,45,161,103,860Z200US93527,1801,10,19,0,14,0,14,8,13,0,14,0,14,0,14,0,14,0,14,0,14,2,13,0,14,0,14,0,14,0,14,0,14,0,14,0.4357,808,135,665,147,143,98
93280,ZCTA5 93280,27266,304,7498,1072,1136,176,282,186,263,126,11,11,6397,1121,11679,1438,11436,1435,243,109,860Z200US93280,27266,60,48,0,25,0,25,6,12,0,25,0,25,1,2,0,25,1,2,0,25,0,25,20,35,15,30,0,25,0,25,17,20,0,25,0.4480,6299,426,3696,411,2603,439
95567,ZCTA5 95567,2349,592,1548,604,0,14,420,191,14,36,0,14,296,198,71,64,20,38,51,51,860Z200US95567,2349,80,40,0,14,3,6,5,10,14,19,0,14,0,14,9,15,2,4,2,6,13,20,1,2,0,14,31,28,0,14,0,14,0,14,0.3092,876,230,719,220,157,75
93543,ZCTA5 93543,12217,1783,4774,916,158,151,71,58,124,118,100,138,4206,1356,2784,1294,2708,1289,76,74,860Z200US93543,12217,48,52,0,21,0,21,0,21,0,21,31,50,0,21,0,21,0,21,0,21,0,21,0,21,9,14,0,21,0,21,8,11,0,21,0.4039,3551,407,2473,321,1078,321
